Level_Name,difficulty,Win Rate,d,d-1,d-2,d-3,d_avg_3,d_std_3,d_max_3,d_min_3,d_change_1,d_x_d1,d_squared,predicted_stars,predicted_continuous
lv40.json,3,95.0,3,3.0,3.0,2.0,3.0,0.0,3.0,3.0,0.0,9.0,9,1,1.1093971540272585
lv41.json,3,82.68,3,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,9.0,9,1,1.2230962777282606
lv42.json,3,94.46,3,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,9.0,9,1,1.2230962777282606
lv43.json,3,69.57,3,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,9.0,9,1,1.2230962777282606
lv44.json,2,85.34,2,3.0,3.0,3.0,2.6666666666666665,0.5773502691896253,3.0,2.0,-1.0,6.0,4,1,1.0712027606265222
lv45.json,3,86.73,3,2.0,3.0,3.0,2.6666666666666665,0.5773502691896253,3.0,2.0,1.0,6.0,9,1,1.2556687842844416
lv46.json,2,83.54,2,3.0,2.0,3.0,2.3333333333333335,0.5773502691896253,3.0,2.0,-1.0,6.0,4,1,1.1179146722968323
lv47.json,3,69.19,3,2.0,3.0,2.0,2.6666666666666665,0.5773502691896253,3.0,2.0,1.0,6.0,9,2,1.6613698400582981
lv48.json,3,63.55,3,3.0,2.0,3.0,2.6666666666666665,0.5773502691896253,3.0,2.0,0.0,9.0,9,1,1.4279874549190237
lv49.json,3,85.01,3,3.0,3.0,2.0,3.0,0.0,3.0,3.0,0.0,9.0,9,1,1.1093971540272582
lv50.json,3,84.92,3,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,9.0,9,1,1.2230962777282606
