Metric,K-Fold,Full Training
MAE,1.2127659574468086,1.2127659574468086
RMSE,1.4066710362609018,1.4066710362609018
Accuracy (exact),0.14893617021276595,0.14893617021276595
Accuracy (±1),0.6595744680851063,0.6595744680851063
Pearson r,0.3802813052549573,0.3802813052549573
