Metric,Value
total_arrows,47
total_dependencies,144
max_in_degree,13
max_out_degree,11
degree_variance,13.430511543684924
edges_per_arrow,3.0638297872340425
approx_max_dependency_depth,27
has_cycle,True
connected_components,1
dependency_density,0.0666049953746531
