Metric,Value
total_arrows,118
total_dependencies,829
max_in_degree,30
edges_per_arrow,7.02542372881356
dependency_density,0.06004635665652615
has_cycle_bool,True
approx_max_dependency_depth_nodes,106
scc_scc_count,16
scc_scc_max_size,103
scc_scc_avg_size,7.375
scc_scc_sizes,"[103, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
scc_sizes,"[103, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
deadlock_severity_total,7245947
deadlock_details,"[{""scc_index"": 13, ""size"": 103, ""internal_edges"": 682, ""severity"": 7245947, ""members"": [3, 5, 6, 7, 8, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54, 55, 57, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 110, 111, 112, 113, 114, 115, 116, 117]}]"
max_row_blockers,20
max_col_blockers,23
avg_row_blockers,13.342857142857143
avg_col_blockers,14.485714285714286
crowded_rows,24
crowded_cols,26
critical_longest_nodes,106
critical_chain_scc_indices,"[14, 13, 9, 0]"
critical_edges_on_chain,697
