Level_Name,total_arrows,total_edges,max_in_degree,edges_per_arrow,dependency_density,has_cycle_bool,critical_nodes,critical_edges,avg_row_blockers,avg_col_blockers,crowded_rows,crowded_cols,PC1_raw,DifficultyScore_0_10,kmeans_cluster,DifficultyLabel,is_outlier_if_1
lv42.json,45,91,9,2.022222222,0.04595959596,0,7,11,6.25,7.411764706,18,13,-1.78570400325411,2.1450557681386813,1,3,0
lv43.json,52,158,12,3.038461538,0.05957767722,0,15,28,9.125,10.05882353,24,17,0.748442537512675,3.2437593666743343,2,4,0
lv44.json,37,107,13,2.891891892,0.08033033033,0,10,16,7.888888889,8.25,18,16,-0.8185927788946931,2.56435613822162,1,3,0
lv45.json,48,162,8,3.375,0.07180851064,0,18,41,12.0,8.826086957,23,23,1.352933571403525,3.505842266591185,2,4,0
lv47.json,40,123,14,3.075,0.07884615385,0,15,33,7.590909091,9.130434783,17,21,0.10114190643943381,2.9631159542853345,2,4,0
lv51.json,48,166,13,3.458333333,0.07358156028,0,19,45,8.681818182,9.444444444,22,18,1.0549054533507884,3.3766293104729206,2,4,0
lv53.json,40,103,14,2.575,0.06602564103,0,12,22,7.652173913,9.75,23,20,-0.0507475160274824,2.8972628347599705,2,4,0
lv54.json,63,235,13,3.73015873,0.06016385049,0,24,57,8.866666667,12.54166667,28,24,3.009243452442339,4.223951340913646,0,5,0
lv55.json,50,113,9,2.26,0.04612244898,0,13,23,8.222222222,6.517241379,22,19,-0.4694044376494954,2.7157501010098604,2,4,0
lv56.json,51,166,11,3.254901961,0.06509803922,0,19,46,8.92,9.25,25,20,1.222281772854606,3.4491969231149473,2,4,0
lv57.json,60,228,11,3.8,0.06440677966,0,19,39,9.375,8.84,23,22,1.740576592849025,3.673908625721519,2,4,0
lv58.json,53,212,21,4.0,0.07692307692,0,24,69,10.34482759,10.96296296,27,26,3.4944654013007503,4.434323982243972,0,5,0
lv59.json,46,136,13,2.956521739,0.06570048309,0,17,28,8.5,8.5,22,18,0.35514803296384106,3.073242752705613,2,4,0
lv60.json,71,273,19,3.845070423,0.05492957746,0,21,58,9.545454545,12.12,32,25,3.8756855482313117,4.5996056423725,0,5,0
lv65.json,78,322,15,4.128205128,0.05361305361,0,37,102,9.166666667,9.6,24,21,4.3329786019144265,4.79786944266361,0,5,0
lv71.json,55,164,14,2.981818182,0.05521885522,0,15,30,7.96,8.285714286,23,13,0.3501807750629949,3.071089150282581,2,4,0
lv72.json,60,214,15,3.566666667,0.0604519774,0,29,78,7.24137931,11.17391304,20,21,2.506034482712581,4.005780253739574,0,5,0
lv73.json,69,273,15,3.956521739,0.05818414322,0,23,58,11.03571429,11.40909091,25,19,3.2162004645844773,4.313679543416866,0,5,0
lv74.json,65,277,23,4.261538462,0.06658653846,0,25,62,10.6,12.6,28,25,4.346218864899085,4.803609885985567,0,5,0
lv75.json,74,275,15,3.716216216,0.05090707146,0,24,54,8.84,11.04,16,22,2.6490673218067258,4.067793516387739,0,5,0
lv76.json,64,254,17,3.96875,0.06299603175,0,20,38,8.8,15.0,27,24,3.213377382498067,4.312455569034404,0,5,0
lv78.json,62,265,21,4.274193548,0.07006874669,0,26,66,9.814814815,10.04545455,25,21,3.4795521171353783,4.427858184503042,0,5,0
lv79.json,57,207,14,3.631578947,0.06484962406,0,21,50,6.866666667,10.30769231,23,22,1.7457283551382954,3.6761422217961592,2,4,0
lv82.json,73,297,23,4.068493151,0.05650684932,0,19,39,11.13333333,13.125,29,23,4.080032183477344,4.688202090873672,0,5,0
lv83.json,56,249,24,4.446428571,0.08084415584,0,23,58,9.181818182,10.28,17,21,2.8625521396010782,4.160351911796242,0,5,0
lv84.json,34,97,10,2.852941176,0.08645276292,0,15,31,7.15,10.75,20,20,-0.271769442387939,2.8014366534634316,2,4,0
lv85.json,72,277,15,3.847222222,0.05418622848,0,20,46,9.620689655,14.08695652,26,23,3.334771737425477,4.365087258818335,0,5,0
lv86.json,53,188,15,3.547169811,0.06821480406,0,19,37,8.583333333,10.04761905,24,21,1.5908652758193065,3.6089998447509073,2,4,0
lv87.json,64,285,13,4.453125,0.07068452381,0,26,77,7.866666667,11.15384615,23,20,3.011182288650819,4.224791941993717,0,5,0
lv88.json,58,238,15,4.103448276,0.07199032063,0,27,70,10.75,12.72727273,27,21,3.4958163652824306,4.434909705667731,0,5,0
lv89.json,75,308,17,4.106666667,0.0554954955,0,38,112,8.724137931,12.18181818,25,18,4.5985143813353995,4.912995032954658,0,5,0
lv90.json,48,162,8,3.375,0.07180851064,0,18,41,12.0,8.826086957,23,23,1.352933571403525,3.505842266591185,2,4,0
lv91.json,62,219,14,3.532258065,0.05790586991,0,20,42,8.92,8.88,20,18,1.5258875342626692,3.5808281201388823,2,4,0
lv92.json,65,268,16,4.123076923,0.06442307692,0,22,56,8.866666667,13.875,26,24,3.4171821246701546,4.400817074583073,0,5,0
lv93.json,78,309,13,3.961538462,0.05144855145,0,35,94,11.13793103,12.30434783,28,23,4.799190283881128,4.999999999999567,0,5,0
lv95.json,42,130,12,3.095238095,0.07549361208,0,15,34,6.458333333,8.24,19,19,-0.19605464099615974,2.8342635336036732,2,4,0
lv98.json,76,285,12,3.75,0.05,0,27,62,8.689655172,12.34782609,24,21,3.204137298248964,4.308449441664915,0,5,0
lv99.json,57,177,14,3.105263158,0.05545112782,0,17,30,7.466666667,9.25,20,21,0.8732326547416986,3.297863321854341,2,4,0
