Metric,Value
total_arrows,45
total_dependencies,184
max_in_degree,19
edges_per_arrow,4.088888888888889
dependency_density,0.09292929292929293
has_cycle_bool,True
approx_max_dependency_depth_nodes,39
scc_scc_count,14
scc_scc_max_size,32
scc_scc_avg_size,3.2142857142857144
scc_scc_sizes,"[32, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
scc_sizes,"[32, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
deadlock_severity_total,147456
deadlock_details,"[{""scc_index"": 8, ""size"": 32, ""internal_edges"": 143, ""severity"": 147456, ""members"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 29, 31, 32, 34, 37, 39, 40, 41, 42, 43]}]"
max_row_blockers,12
max_col_blockers,12
avg_row_blockers,8.916666666666666
avg_col_blockers,8.7
crowded_rows,24
crowded_cols,20
critical_longest_nodes,39
critical_chain_scc_indices,"[12, 11, 8, 6, 5, 4, 3, 2]"
critical_edges_on_chain,166
