Metric,Value
total_arrows,62
total_edges,184
max_in_degree,13
edges_per_arrow,2.967741935483871
dependency_density,0.048651507139079855
has_cycle_bool,False
critical_longest_nodes,14
critical_edges_on_chain,23
num_wayBlockers,0
num_blackHoles,0
sum_wayBlocker_lockTime,0
avg_wayBlocker_lockTime,0.0
avg_row_blockers,7.52
avg_col_blockers,9.428571428571429
crowded_rows,19
crowded_cols,17
